From	To
A0PJY2	FEZF1
A1X283	SH3PXD2B
A2PYH4	HFM1
A2RRP1	NBAS
A4D126	CRPPA
A6NCS4	NKX2-6
A6NFY7	SDHAF1
A6NGG8	PCARE
A6NHR9	SMCHD1
A6NNB3	IFITM5
A6NNN8	SLC38A8
A8MXD5	GRXCR1
B1AK53	ESPN
B2RXF5	ZBTB42
B7U540	KCNJ18
C9JR72	KBTBD13
O00116	AGPS
O00142	TK2
O00165	HAX1
O00187	MASP2
O00203	AP3B1
O00217	NDUFS8
O00238	BMPR1B
O00255	MEN1
O00292	LEFTY2
O00294	TULP1
O00305	CACNB4
O00329	PIK3CD
O00358	FOXE1
O00400	SLC33A1
O00423	EML1
O00429	DNM1L
O00459	PIK3R2
O00468	AGRN
O00499	BIN1
O00522	KRIT1
O00555	CACNA1A
O00571	DDX3X
O00584	RNASET2
O00623	PEX12
O00628	PEX7
O00744	WNT10B
O00754	MAN2B1
O00755	WNT7A
O14521	SDHD
O14593	RFXANK
O14647	CHD2
O14649	KCNK3
O14653	GOSR2
O14656	TOR1A
O14672	ADAM10
O14678	ABCD4
O14686	KMT2D
O14745	SLC9A3R1
O14746	TERT
O14764	GABRD
O14773	TPP1
O14788	TNFSF11
O14791	APOL1
O14802	POLR3A
O14813	PHOX2A
O14832	PHYH
O14836	TNFRSF13B
O14874	BCKDK
O14896	IRF6
O14901	KLF11
O14936	CASK
O14949	UQCRQ
O14958	CASQ2
O14979	HNRNPDL
O14983	ATP2A1
O15013	ARHGEF10
O15020	SPTBN2
O15055	PER2
O15078	CEP290
O15118	NPC1
O15119	TBX3
O15120	AGPAT2
O15146	MUSK
O15160	POLR1C
O15169	AXIN1
O15178	TBXT
O15198	SMAD9
O15228	GNPAT
O15232	MATN3
O15239	NDUFA1
O15247	CLIC2
O15259	NPHP1
O15266	SHOX
O15269	SPTLC1
O15270	SPTLC2
O15273	TCAP
O15287	FANCG
O15294	OGT
O15303	GRM6
O15305	PMM2
O15344	MID1
O15357	INPPL1
O15360	FANCA
O15409	FOXP2
O15455	TLR3
O15460	P4HA2
O15484	CAPN5
O15520	FGF10
O15528	CYP27B1
O15537	RS1
O15553	MEFV
O15554	KCNN4
O43167	ZBTB24
O43172	PRPF4
O43175	PHGDH
O43186	CRX
O43272	PRODH
O43291	SPINT2
O43306	ADCY6
O43307	ARHGEF9
O43316	PAX4
O43320	FGF16
O43323	DHH
O43364	HOXA2
O43379	WDR62
O43395	PRPF3
O43405	COCH
O43424	GRID2
O43426	SYNJ1
O43462	MBTPS2
O43464	HTRA2
O43490	PROM1
O43502	RAD51C
O43505	B4GAT1
O43511	SLC26A4
O43520	ATP8B1
O43525	KCNQ3
O43526	KCNQ2
O43541	SMAD6
O43542	XRCC3
O43548	TGM5
O43556	SGCE
O43570	CA12
O43586	PSTPIP1
O43593	HR
O43602	DCX
O43612	HCRT
O43707	ACTN4
O43734	TRAF3IP2
O43766	LIAS
O43772	SLC25A20
O43790	KRT86
O43819	SCO2
O43826	SLC37A4
O43837	IDH3B
O43896	KIF1C
O43897	TLL1
O43918	AIRE
O43929	ORC4
O43933	PEX1
O60216	RAD21
O60220	TIMM8A
O60243	HS6ST1
O60258	FGF17
O60260	PRKN
O60282	KIF5C
O60292	SIPA1L3
O60313	OPA1
O60315	ZEB2
O60331	PIP5K1C
O60333	KIF1B
O60353	FZD6
O60393	NOBOX
O60481	ZIC3
O60488	ACSL4
O60494	CUBN
O60500	NPHS1
O60566	BUB1B
O60568	PLOD3
O60662	KLHL41
O60663	LMX1B
O60674	JAK2
O60687	SRPX2
O60706	ABCC9
O60733	PLA2G6
O60741	HCN1
O60762	DPM1
O60779	SLC19A2
O60806	TBX19
O60826	CCDC22
O60828	PQBP1
O60832	DKC1
O60840	CACNA1F
O60880	SH2D1A
O60928	KCNJ13
O60930	RNASEH1
O60931	CTNS
O60934	NBN
